,teaching,international,research,citations,income,scores,clusters,cluster
1506,41.1,85.7,45.8,68.2,35.6,53.9,0,light pink
1507,40.2,86.9,33.1,81.4,40.1,53.9,0,light pink
1508,32.4,88.6,32.9,88.9,37.1,53.8,0,light pink
1509,34.5,96.8,37.2,78.2,65.1,53.8,0,light pink
1510,30.6,54.6,31.9,100.0,33.8,53.7,3,black
1511,41.1,83.5,51.9,61.1,47.8,53.7,0,light pink
1512,35.7,90.5,35.9,81.4,39.8,53.6,0,light pink
1513,31.9,83.6,30.4,92.8,31.2,53.6,0,light pink
1514,43.8,76.7,44.4,62.9,91.8,53.4,2,purple
1515,41.5,53.0,44.7,74.0,54.7,53.4,3,black
1516,32.2,75.0,33.8,90.5,32.2,53.4,0,light pink
1518,36.9,56.1,50.8,68.1,88.9,53.1,2,purple
1519,29.1,94.4,22.4,98.9,32.8,53.0,0,light pink
1520,32.6,70.1,48.5,74.9,32.6,52.9,0,light pink
1521,37.3,62.7,33.1,87.7,28.9,52.8,0,light pink
1522,39.9,79.7,28.2,79.6,98.6,52.7,2,purple
1523,41.9,55.5,29.2,87.7,36.4,52.7,3,black
1524,40.0,74.8,39.1,74.3,43.8,52.7,0,light pink
1525,43.8,73.4,47.1,61.8,51.8,52.6,0,light pink
1526,26.8,76.7,35.3,86.6,88.0,52.6,2,purple
1527,32.4,54.6,29.1,95.9,46.5,52.5,3,black
1528,45.7,84.0,44.8,55.1,100.0,52.5,2,purple
1530,43.9,64.0,53.5,57.8,42.8,52.4,0,light pink
1531,48.7,31.8,35.9,76.9,49.8,52.1,3,black
1532,35.4,84.7,36.1,78.0,34.1,52.0,0,light pink
1533,42.0,80.7,36.9,70.1,47.4,51.9,0,light pink
1534,36.5,44.8,39.1,83.6,33.2,51.9,3,black
1535,35.2,82.4,34.1,79.7,38.9,51.9,0,light pink
1536,39.8,44.7,42.0,70.8,99.5,51.6,2,purple
1537,29.4,85.1,39.9,76.5,50.9,51.4,0,light pink
1538,35.5,50.6,43.2,74.9,60.0,51.4,3,black
1539,39.4,83.9,30.3,77.6,30.6,51.2,0,light pink
1540,28.5,54.1,27.6,96.8,47.7,51.1,3,black
