,teaching,international,research,citations,income,scores,clusters,cluster
0,99.7,72.4,98.7,98.8,34.5,96.1,1,pink
1,97.7,54.6,98.0,99.9,83.7,96.0,1,pink
2,97.8,82.3,91.4,99.9,87.5,95.6,1,pink
3,98.3,29.5,98.1,99.2,64.3,94.3,1,pink
5,90.5,77.7,94.1,94.0,57.0,91.2,1,pink
6,88.2,77.2,93.9,95.1,73.5,91.2,1,pink
8,89.2,90.0,94.5,88.3,92.9,90.6,1,pink
12,80.9,58.5,89.2,92.3,100.0,86.4,1,pink
13,82.2,62.4,88.8,88.1,34.7,83.9,1,pink
15,83.9,53.3,89.1,84.1,59.6,83.4,1,pink
18,71.8,32.9,82.7,93.6,43.7,79.5,1,pink
19,70.3,39.1,79.3,95.7,53.7,79.3,1,pink
20,68.4,91.4,71.4,96.1,56.5,79.2,1,pink
21,74.0,90.8,81.6,80.6,39.0,78.4,1,pink
22,68.2,49.0,77.1,95.9,32.8,78.0,1,pink
23,66.8,49.4,71.5,92.3,100.0,76.5,2,purple
26,67.9,73.2,72.6,83.2,95.1,75.3,1,pink
27,69.5,32.6,62.5,96.5,100.0,75.1,2,purple
28,56.6,64.3,68.0,98.8,89.8,75.0,1,pink
29,65.1,93.3,74.8,80.3,42.6,73.8,1,pink
30,70.9,21.5,75.1,85.0,50.2,73.8,1,pink
31,59.8,31.6,76.3,90.8,51.8,73.2,1,pink
33,65.5,97.8,72.6,78.7,40.5,72.9,1,pink
35,58.7,88.0,69.2,83.3,47.7,71.0,1,pink
36,76.4,68.6,61.3,72.2,98.6,70.7,2,purple
39,59.9,67.3,61.9,86.8,42.2,69.2,1,pink
40,50.4,97.4,51.8,98.2,64.1,69.0,0,light pink
41,66.8,44.9,48.2,95.7,30.7,68.6,3,black
44,57.3,44.5,55.9,92.5,31.7,67.0,3,black
46,57.4,31.2,50.6,99.1,29.2,66.9,3,black
47,55.0,100.0,56.1,83.8,38.0,66.5,0,light pink
50,64.9,22.1,59.5,78.1,84.2,65.9,2,purple
53,57.3,60.5,70.7,68.8,48.0,65.0,1,pink
55,61.3,22.6,72.6,67.9,53.9,64.7,3,black
56,78.9,18.4,77.7,46.3,67.1,64.6,2,purple
57,74.9,43.0,66.6,52.7,97.8,64.2,2,purple
58,53.6,38.1,51.9,91.4,29.6,64.0,3,black
61,59.1,43.1,57.5,76.4,40.4,63.0,3,black
63,58.5,25.2,58.3,78.3,37.9,62.7,3,black
67,49.6,67.2,53.1,80.9,36.2,61.4,0,light pink
70,49.8,89.6,61.9,64.3,90.8,61.2,2,purple
72,46.5,87.5,38.8,90.5,52.7,60.7,0,light pink
75,47.7,84.2,45.3,84.4,31.6,60.3,0,light pink
76,48.5,85.9,54.5,72.1,44.1,59.7,0,light pink
78,71.3,36.7,63.4,45.5,100.0,59.5,2,purple
79,42.4,72.8,42.4,91.6,29.1,59.5,0,light pink
80,51.8,74.2,53.4,69.0,57.1,59.1,0,light pink
81,47.9,66.6,46.2,81.9,36.2,59.1,0,light pink
82,59.2,63.4,47.5,70.3,39.1,59.0,0,light pink
84,39.8,65.7,44.1,91.0,33.9,58.9,0,light pink
85,62.4,99.5,56.2,51.6,38.4,58.3,0,light pink
86,56.5,79.1,56.2,59.2,39.0,58.0,0,light pink
87,37.7,92.9,36.2,93.2,30.5,57.9,0,light pink
88,46.3,56.8,60.8,67.6,33.2,57.8,3,black
89,50.8,69.0,47.8,72.9,37.7,57.7,0,light pink
90,56.6,87.9,47.0,65.0,43.8,57.7,0,light pink
95,52.4,21.9,52.2,70.1,84.2,57.3,2,purple
96,50.2,91.3,37.1,78.3,45.8,57.3,0,light pink
99,51.1,37.6,34.4,88.8,26.1,57.0,3,black
101,49.0,24.2,51.4,75.4,30.2,56.6,3,black
102,44.8,85.7,47.7,72.9,32.6,56.5,0,light pink
106,52.2,34.1,52.6,66.9,50.2,56.1,3,black
108,46.3,19.9,49.2,77.6,44.0,56.0,3,black
109,62.3,44.9,54.1,54.6,43.0,56.0,3,black
110,32.9,71.8,32.5,97.6,26.7,55.6,0,light pink
111,34.3,47.7,36.1,95.7,32.4,55.4,3,black
112,62.9,24.8,63.4,45.5,60.5,55.4,3,black
113,55.4,44.9,51.7,56.9,99.8,55.3,2,purple
114,50.3,29.2,59.0,61.6,35.7,55.2,3,black
116,38.6,63.0,47.4,78.3,30.5,55.1,0,light pink
117,46.6,95.7,49.7,63.1,32.7,55.0,0,light pink
118,57.7,29.6,62.9,45.2,97.7,54.8,2,purple
119,52.2,50.2,46.2,66.0,43.4,54.6,3,black
120,39.7,91.0,44.1,73.5,38.9,54.6,0,light pink
122,46.2,64.0,46.9,64.6,95.5,54.5,2,purple
123,52.8,24.7,59.1,52.8,97.1,54.4,2,purple
124,43.5,73.8,41.9,74.9,28.8,54.4,0,light pink
125,47.3,40.0,54.9,59.3,100.0,54.4,2,purple
126,53.7,71.6,58.0,49.7,44.5,54.3,0,light pink
127,45.6,55.1,50.3,65.1,61.0,54.2,3,black
129,61.7,20.1,63.4,40.0,73.4,53.4,2,purple
131,60.3,20.1,62.5,41.2,82.3,53.3,2,purple
132,52.4,46.2,41.4,64.3,79.8,53.3,2,purple
134,39.9,66.6,42.1,73.1,41.5,52.7,0,light pink
135,43.1,84.1,50.5,59.1,42.5,52.6,0,light pink
136,48.9,62.7,49.2,58.4,40.3,52.5,0,light pink
138,47.6,30.6,51.6,58.5,81.4,52.3,2,purple
139,51.9,30.7,37.2,71.5,26.4,52.2,3,black
140,34.1,54.4,41.0,79.3,49.3,52.2,3,black
141,34.1,22.3,33.7,91.9,30.0,52.1,3,black
142,43.4,52.6,53.0,58.8,55.3,52.0,3,black
144,34.8,94.3,39.2,71.8,61.1,51.8,0,light pink
145,50.3,73.8,50.7,52.1,34.8,51.8,0,light pink
146,29.5,19.3,28.0,99.8,36.0,51.6,3,black
147,49.6,77.9,62.2,40.7,39.5,51.6,0,light pink
148,39.4,82.9,45.7,62.4,57.2,51.4,0,light pink
149,37.8,86.1,45.2,64.6,47.0,51.4,0,light pink
150,55.5,47.4,67.7,29.0,99.4,51.3,2,purple
151,41.2,88.5,35.8,70.6,27.4,51.2,0,light pink
152,42.7,80.5,42.8,63.6,31.1,51.2,0,light pink
153,49.5,70.7,48.9,51.2,60.0,51.2,0,light pink
154,35.0,44.1,33.0,84.7,40.0,51.1,3,black
156,49.3,23.2,49.6,58.2,49.6,51.0,3,black
157,67.3,16.3,41.7,48.9,50.1,50.7,3,black
159,38.4,16.8,51.9,61.3,100.0,50.4,2,purple
162,46.1,21.3,50.6,58.9,37.5,50.2,3,black
164,42.5,38.2,49.2,60.2,38.8,50.0,3,black
165,40.8,59.8,47.8,59.6,40.6,50.0,0,light pink
166,38.1,33.4,55.6,57.3,61.5,49.9,3,black
167,46.2,50.0,48.0,55.6,38.3,49.8,3,black
169,41.7,35.5,56.4,54.1,34.2,49.7,3,black
170,46.2,29.3,34.7,70.2,41.2,49.6,3,black
171,39.2,56.1,37.3,69.5,41.6,49.4,3,black
173,43.6,96.3,51.7,45.0,40.0,49.0,0,light pink
174,42.1,62.8,40.4,62.8,29.7,49.0,0,light pink
175,46.8,74.8,44.1,52.5,38.4,49.0,0,light pink
176,44.1,45.8,45.7,58.3,26.1,48.8,3,black
177,50.9,46.1,44.5,52.0,27.8,48.5,3,black
178,39.4,87.1,38.8,60.5,40.8,48.5,0,light pink
179,46.8,46.8,33.8,65.3,29.4,48.5,3,black
180,53.2,57.9,54.4,32.9,98.7,48.3,2,purple
181,50.0,63.8,42.5,48.9,56.6,48.2,0,light pink
182,39.5,27.2,39.5,66.4,43.9,47.7,3,black
183,40.4,62.8,42.5,57.9,32.2,47.6,0,light pink
184,49.9,62.4,48.3,42.0,49.8,47.5,0,light pink
186,45.0,47.3,35.4,60.7,40.0,47.2,3,black
187,37.9,99.5,34.8,60.2,35.0,47.2,0,light pink
188,45.9,57.8,36.3,57.3,32.3,47.0,0,light pink
189,45.0,60.6,35.9,58.2,27.4,46.9,0,light pink
190,43.6,18.9,40.4,61.5,32.5,46.9,3,black
191,43.0,28.0,48.7,52.2,40.4,46.9,3,black
193,49.1,64.2,56.2,29.2,100.0,46.8,2,purple
194,47.6,63.2,45.7,45.6,27.0,46.7,0,light pink
195,33.5,15.9,33.3,76.8,26.3,46.5,3,black
197,54.6,29.6,41.3,44.3,70.3,46.4,2,purple
198,32.9,51.9,44.2,60.2,37.9,46.2,3,black
200,95.7,56.0,98.2,99.9,97.0,94.8,1,pink
201,95.8,67.5,97.4,99.8,35.9,93.9,1,pink
202,94.8,57.2,98.9,99.8,63.8,93.9,1,pink
203,89.5,91.9,96.6,97.9,62.1,93.6,1,pink
204,91.5,49.6,99.1,100.0,81.0,92.9,1,pink
205,90.5,85.3,94.2,97.3,55.5,92.4,1,pink
206,92.7,79.2,87.4,100.0,94.4,92.3,1,pink
207,88.8,92.2,88.7,93.9,93.1,90.7,1,pink
209,82.8,50.4,99.4,99.4,62.5,89.8,1,pink
210,92.3,55.5,91.2,96.7,34.7,89.1,1,pink
213,78.9,59.9,86.5,97.3,100.0,85.8,1,pink
215,87.0,34.3,86.1,97.9,41.9,84.9,1,pink
216,77.8,91.8,84.3,89.0,41.4,83.2,1,pink
217,75.4,47.2,90.0,94.3,53.3,82.8,1,pink
218,76.9,69.0,87.4,86.5,44.9,81.6,1,pink
220,65.7,55.0,79.5,97.4,60.7,78.4,1,pink
221,62.6,46.9,77.9,97.4,100.0,77.4,1,pink
222,68.6,88.7,78.6,85.2,40.6,77.4,1,pink
223,66.6,65.0,73.8,91.9,99.2,77.0,1,pink
224,70.8,36.9,74.0,98.2,31.8,76.5,1,pink
225,66.3,35.3,75.5,98.6,56.6,76.2,1,pink
226,74.3,23.8,77.3,90.6,55.3,75.8,1,pink
227,72.8,81.4,78.4,77.1,35.1,75.5,1,pink
228,69.5,38.8,76.1,89.6,57.7,74.9,1,pink
229,86.1,23.0,80.3,69.1,76.6,74.3,1,pink
231,69.9,82.0,73.8,73.1,78.5,73.1,1,pink
232,61.4,31.5,72.0,97.8,51.8,73.0,1,pink
233,74.0,83.7,80.1,60.5,64.1,72.3,1,pink
234,55.0,52.6,65.3,99.9,85.0,72.1,2,purple
235,63.0,79.8,61.4,92.3,41.3,72.0,1,pink
236,62.2,82.5,72.4,80.7,44.4,71.9,1,pink
237,62.8,93.8,75.1,72.6,41.7,71.2,1,pink
238,68.0,51.4,68.7,83.4,52.5,71.2,1,pink
239,65.7,93.0,79.0,63.4,60.7,70.9,1,pink
242,67.6,20.2,62.6,92.6,35.5,69.3,3,black
243,60.2,38.1,65.4,92.3,30.9,69.0,3,black
244,63.8,54.3,59.9,84.6,40.7,67.6,3,black
245,53.1,98.9,43.9,95.3,46.7,66.3,0,light pink
246,66.4,96.0,75.4,50.6,41.1,66.0,1,pink
247,59.0,80.4,61.1,75.6,37.7,65.7,0,light pink
248,59.8,33.4,53.6,93.9,34.9,65.6,3,black
249,82.3,51.7,64.1,51.0,99.9,65.6,2,purple
250,53.5,29.5,66.7,83.4,61.6,64.9,3,black
251,76.4,21.1,72.0,56.3,71.7,64.8,2,purple
252,56.4,25.0,51.9,92.3,100.0,64.6,2,purple
253,60.7,37.2,46.2,95.6,27.6,64.2,3,black
254,65.8,41.1,48.7,80.2,99.3,64.0,2,purple
255,49.8,90.0,54.2,80.9,40.8,63.2,0,light pink
256,61.8,42.2,56.2,77.5,49.9,63.0,3,black
257,55.4,88.1,65.7,57.2,92.1,62.4,2,purple
258,54.3,26.5,53.9,88.7,37.5,62.0,3,black
259,56.6,66.2,33.5,96.4,44.7,62.0,0,light pink
260,56.7,87.4,45.9,78.4,43.5,61.9,0,light pink
261,51.0,80.1,58.6,71.0,59.0,61.7,0,light pink
262,50.4,86.1,38.8,89.1,63.0,61.5,0,light pink
263,54.0,27.3,58.3,80.1,53.2,61.1,3,black
264,41.9,72.0,49.9,85.5,97.5,61.0,2,purple
265,44.2,73.7,47.7,89.9,34.8,60.9,0,light pink
266,52.5,56.7,64.7,63.0,99.9,60.8,2,purple
267,42.8,58.1,53.2,85.7,59.3,60.4,3,black
268,51.4,48.0,50.9,84.1,32.7,60.3,3,black
269,52.1,26.8,47.6,86.8,64.4,59.6,3,black
270,74.1,33.4,70.1,37.4,99.8,59.5,2,purple
271,45.9,39.7,38.0,99.9,36.2,59.0,3,black
272,57.1,62.3,41.5,78.5,37.6,58.7,0,light pink
273,47.5,80.8,52.3,70.2,62.6,58.6,0,light pink
274,48.4,37.3,39.8,90.9,34.4,57.4,3,black
275,50.1,75.9,47.6,66.3,100.0,57.4,2,purple
276,45.8,41.3,37.4,94.5,35.4,57.3,3,black
278,45.4,54.4,55.3,71.7,48.6,57.0,3,black
279,40.4,61.2,58.5,72.8,32.6,56.9,0,light pink
281,47.0,45.7,33.5,94.5,36.4,56.8,3,black
282,32.5,75.8,37.9,96.2,30.5,56.4,0,light pink
283,56.3,66.7,30.5,81.1,26.2,56.0,0,light pink
284,37.1,89.1,40.2,83.0,34.1,55.7,0,light pink
285,36.2,36.3,42.3,93.5,45.6,55.4,3,black
286,47.2,59.1,65.1,53.3,43.4,55.2,3,black
287,50.0,65.2,37.1,76.3,47.2,55.1,0,light pink
288,42.6,33.1,36.2,94.1,27.3,55.0,3,black
290,39.3,46.8,54.2,75.1,28.9,54.8,3,black
291,41.7,56.4,54.7,68.3,42.5,54.7,3,black
293,64.2,29.3,54.6,47.1,100.0,54.5,2,purple
294,41.1,35.3,43.6,85.8,28.5,54.5,3,black
295,47.4,34.0,49.6,73.6,28.0,54.4,3,black
296,45.1,28.4,43.0,78.3,86.0,54.2,2,purple
298,30.6,79.8,34.8,92.0,28.1,53.9,0,light pink
299,50.6,71.9,54.4,51.7,53.7,53.7,0,light pink
300,44.6,68.2,46.0,67.5,40.2,53.6,0,light pink
301,37.5,68.1,41.0,77.5,61.4,53.4,0,light pink
302,34.3,73.9,41.1,75.3,97.5,53.2,2,purple
303,53.5,71.3,66.1,31.2,100.0,53.1,2,purple
304,54.5,79.5,47.0,48.7,81.3,53.1,2,purple
305,41.1,47.3,52.2,63.4,97.8,53.0,2,purple
306,28.6,93.3,24.1,98.2,25.9,52.9,0,light pink
307,56.0,24.9,58.9,49.5,66.3,52.8,2,purple
309,28.5,29.8,36.6,99.9,29.5,52.5,3,black
310,38.9,92.4,21.9,86.0,48.6,52.2,0,light pink
311,43.0,77.6,34.6,73.5,38.2,52.1,0,light pink
313,37.7,56.5,28.7,88.3,29.2,51.4,3,black
314,35.6,67.3,48.0,62.1,100.0,51.3,2,purple
315,27.5,86.7,40.4,77.8,40.3,51.2,0,light pink
316,40.5,75.8,48.5,57.1,62.2,51.1,0,light pink
317,30.3,89.4,23.5,91.7,29.7,51.1,0,light pink
318,61.8,21.1,56.5,40.0,75.0,51.0,2,purple
319,57.7,25.6,55.7,42.9,78.9,50.8,2,purple
320,47.7,53.0,56.4,48.4,25.0,50.4,3,black
321,36.7,72.7,38.8,71.6,33.9,50.4,0,light pink
323,64.6,16.3,50.8,44.0,42.6,50.1,3,black
324,30.7,69.3,49.0,64.0,67.0,50.0,0,light pink
326,38.2,26.1,39.0,80.3,28.7,49.9,3,black
327,29.0,88.8,28.6,83.7,36.6,49.9,0,light pink
328,35.6,78.3,35.5,72.5,39.3,49.9,0,light pink
329,34.9,97.5,39.0,65.1,32.7,49.8,0,light pink
330,32.6,78.6,35.7,75.4,27.5,49.7,0,light pink
331,25.0,48.8,36.0,90.2,26.8,49.7,3,black
332,44.6,64.8,43.9,57.1,36.4,49.5,0,light pink
333,32.4,47.3,52.4,62.4,59.9,49.2,3,black
335,37.8,74.8,31.6,72.1,37.0,49.0,0,light pink
336,37.0,26.4,42.2,74.7,34.7,49.0,3,black
338,49.5,86.6,41.2,45.2,25.4,47.9,0,light pink
339,40.2,72.6,40.0,57.6,36.7,47.7,0,light pink
341,35.3,58.8,21.4,85.1,25.1,47.6,0,light pink
342,27.8,30.0,30.9,89.6,31.0,47.5,3,black
343,31.7,32.7,40.4,73.6,49.0,47.4,3,black
344,26.5,68.5,26.1,85.6,28.0,47.3,0,light pink
345,34.2,76.2,28.4,72.2,32.3,47.0,0,light pink
346,40.0,19.7,18.9,90.7,27.0,47.0,3,black
347,42.6,70.3,42.6,50.6,36.0,46.9,0,light pink
348,25.9,85.3,25.8,80.8,25.1,46.8,0,light pink
349,25.3,40.3,27.3,90.2,33.7,46.7,3,black
350,47.0,69.5,50.2,37.8,36.4,46.6,0,light pink
351,46.3,62.1,48.5,42.5,30.6,46.6,0,light pink
352,30.6,84.8,32.2,67.7,44.4,46.6,0,light pink
353,47.8,20.7,58.5,39.2,40.0,46.2,3,black
355,31.3,73.4,33.3,67.8,35.4,46.1,0,light pink
356,28.8,65.0,27.2,77.4,45.0,46.0,0,light pink
357,39.7,85.5,44.5,45.0,31.3,46.0,0,light pink
358,27.7,52.3,43.8,65.5,33.1,45.9,3,black
359,25.2,83.2,23.7,80.5,32.3,45.9,0,light pink
360,30.4,48.0,35.3,70.2,63.2,45.9,3,black
361,43.9,23.9,38.9,56.6,87.8,45.8,2,purple
362,36.4,17.2,21.6,86.1,49.1,45.8,3,black
363,42.3,36.0,51.8,45.7,43.8,45.7,3,black
364,36.9,75.1,38.6,55.4,31.6,45.7,0,light pink
365,47.3,30.1,60.7,33.0,35.0,45.4,3,black
366,53.3,27.2,43.9,43.3,38.6,45.2,3,black
367,36.1,67.1,25.1,67.2,61.8,45.1,0,light pink
368,41.4,89.8,47.8,34.5,44.4,45.0,0,light pink
370,29.2,72.5,34.7,65.5,30.8,45.0,0,light pink
372,39.7,65.0,36.1,49.3,87.5,44.6,2,purple
373,28.3,92.9,35.0,55.7,76.6,44.6,0,light pink
374,36.1,85.1,40.2,46.8,53.1,44.6,0,light pink
375,20.8,62.5,20.1,87.1,55.3,44.5,0,light pink
376,16.8,70.5,31.5,79.2,26.8,44.2,0,light pink
377,31.9,65.2,24.1,66.8,95.7,44.1,2,purple
378,61.7,22.9,58.0,18.8,33.3,44.1,3,black
379,26.4,29.8,37.2,66.7,98.0,43.8,2,purple
380,30.5,57.6,21.7,75.1,42.4,43.6,0,light pink
381,34.8,73.1,33.5,55.6,37.1,43.6,0,light pink
382,33.5,63.9,36.9,56.6,29.0,43.6,0,light pink
383,32.8,28.3,30.1,70.4,49.2,43.4,3,black
384,38.9,49.6,34.8,54.8,36.9,43.2,3,black
385,23.4,54.3,16.1,87.6,37.6,43.1,0,light pink
386,40.9,82.1,39.5,34.1,100.0,43.0,2,purple
387,34.4,58.1,24.1,67.6,31.0,43.0,0,light pink
388,35.7,55.6,18.7,67.8,81.8,42.9,2,purple
389,32.1,90.0,35.8,47.8,58.7,42.9,0,light pink
390,29.0,73.5,26.6,65.2,42.1,42.8,0,light pink
391,38.9,14.8,23.5,73.6,29.7,42.7,3,black
392,30.2,61.6,35.0,57.4,50.1,42.6,0,light pink
393,29.0,63.7,29.7,62.8,49.9,42.5,0,light pink
394,26.5,41.4,18.9,83.5,24.2,42.4,3,black
395,34.6,64.9,19.6,65.5,35.6,41.6,0,light pink
396,49.0,32.1,14.2,63.5,40.7,41.5,3,black
398,27.6,84.9,30.3,56.3,34.4,41.5,0,light pink
399,32.9,56.2,30.4,54.4,76.8,41.4,2,purple
602,96.3,59.8,99.4,99.7,95.6,95.5,1,pink
603,95.0,56.6,98.8,99.3,62.4,93.7,1,pink
604,89.7,88.7,98.1,95.6,79.8,93.7,1,pink
605,94.9,63.7,98.6,99.2,39.9,93.6,1,pink
606,92.9,81.6,89.2,99.9,92.9,93.1,1,pink
607,89.5,54.5,99.4,99.8,79.5,92.7,1,pink
608,91.2,83.6,95.6,96.2,59.1,92.6,1,pink
609,88.0,91.4,90.9,93.0,87.5,90.6,1,pink
610,85.1,49.7,99.3,99.3,65.4,90.5,1,pink
612,93.2,54.7,92.5,94.8,38.2,89.2,1,pink
616,90.0,38.1,89.4,96.2,43.7,86.6,1,pink
617,81.8,57.3,85.5,95.3,100.0,85.6,1,pink
618,83.5,89.0,88.8,86.8,45.1,85.5,1,pink
619,77.0,53.8,92.1,91.8,39.5,83.3,1,pink
620,77.6,33.8,87.3,98.2,64.4,83.1,1,pink
621,76.1,47.6,91.4,91.6,53.9,82.6,1,pink
622,79.6,65.1,89.4,85.1,42.9,82.2,1,pink
623,71.8,51.4,87.0,95.5,55.9,81.5,1,pink
624,72.3,45.8,81.5,97.0,100.0,81.2,1,pink
625,74.7,39.1,81.3,97.0,41.3,79.9,1,pink
626,70.2,66.3,79.5,90.3,74.9,78.8,1,pink
627,75.5,42.1,80.7,91.0,57.9,78.8,1,pink
628,87.9,27.6,89.9,71.3,59.0,78.3,1,pink
629,68.4,77.2,82.5,83.7,67.6,77.9,1,pink
630,74.4,92.3,87.2,67.2,77.4,77.5,1,pink
631,69.1,82.1,80.4,84.0,42.4,77.3,1,pink
632,76.1,29.8,80.1,88.2,54.8,76.9,1,pink
633,68.4,78.9,71.3,90.8,43.8,76.1,1,pink
635,74.4,75.9,80.4,75.2,40.3,75.7,1,pink
636,56.1,58.3,73.5,99.4,100.0,75.6,2,purple
637,78.4,81.7,85.9,62.1,62.5,75.6,1,pink
638,68.6,90.0,83.5,73.5,39.6,75.4,1,pink
639,63.4,34.2,79.0,96.2,43.9,75.2,1,pink
640,70.8,87.2,80.8,66.5,42.9,73.1,1,pink
641,62.4,98.8,57.0,95.0,49.8,73.0,1,pink
642,73.8,38.7,67.4,89.2,29.5,72.8,1,pink
643,66.3,64.5,75.7,77.3,71.4,72.4,1,pink
644,70.4,32.9,69.3,90.1,40.0,72.4,1,pink
645,67.9,51.7,71.6,82.7,52.5,71.8,1,pink
647,81.5,54.1,67.9,64.3,99.9,70.7,2,purple
649,65.4,54.7,66.5,85.5,42.0,70.4,1,pink
650,65.9,77.9,67.7,76.9,43.2,70.1,1,pink
651,63.9,28.8,63.9,88.2,100.0,69.4,2,purple
652,63.7,36.9,60.3,94.1,29.9,68.9,3,black
653,74.5,37.2,76.4,55.2,99.2,67.1,2,purple
654,66.7,46.3,60.9,80.1,49.5,67.0,3,black
655,65.4,39.2,50.9,94.2,30.6,66.8,3,black
656,77.1,26.3,74.8,57.8,76.4,66.8,2,purple
657,68.4,43.4,57.1,81.9,33.5,66.3,3,black
658,53.5,86.0,59.3,82.8,42.4,66.2,0,light pink
659,59.7,56.6,71.0,67.2,99.7,66.1,2,purple
660,76.7,27.0,81.4,48.0,81.7,65.9,2,purple
661,61.6,67.3,46.9,90.3,47.2,65.9,0,light pink
662,55.0,34.9,69.2,81.4,59.7,65.8,3,black
663,59.5,83.0,70.1,62.9,69.2,65.7,2,purple
664,56.5,83.0,54.7,80.7,75.8,65.7,2,purple
665,54.0,54.8,67.1,78.4,46.1,65.1,3,black
666,56.9,78.1,64.6,68.9,55.6,64.4,0,light pink
667,54.4,77.8,66.1,69.6,64.0,64.4,2,purple
668,48.0,47.3,64.7,82.4,82.6,64.1,2,purple
669,69.9,31.1,68.9,58.4,100.0,64.0,2,purple
671,50.0,51.0,52.5,92.5,34.4,63.2,3,black
672,54.9,79.2,53.7,73.8,100.0,63.2,2,purple
673,44.5,62.8,64.1,80.2,62.0,62.9,2,purple
674,57.1,31.7,62.6,77.8,52.8,62.9,3,black
675,50.1,71.9,51.7,85.4,38.7,62.5,0,light pink
676,49.5,59.0,39.3,100.0,36.5,62.0,3,black
677,54.6,29.4,55.1,85.2,39.3,61.7,3,black
678,59.9,67.7,75.1,45.1,99.9,61.6,2,purple
679,61.4,61.3,49.0,75.5,40.7,61.4,3,black
680,56.7,36.6,44.4,90.9,38.3,61.3,3,black
681,42.3,77.7,44.5,93.3,34.3,60.7,0,light pink
682,59.2,64.4,43.5,80.6,28.6,60.5,0,light pink
683,43.6,64.4,61.3,77.1,34.2,60.3,0,light pink
684,45.6,57.0,61.3,75.1,49.0,60.1,3,black
685,54.0,74.6,57.9,60.9,95.0,59.8,2,purple
686,52.6,84.8,63.8,56.7,50.5,59.6,0,light pink
687,45.7,90.5,66.9,54.5,99.5,59.4,2,purple
688,52.6,39.6,36.4,94.8,39.4,59.1,3,black
689,42.3,66.9,47.9,81.7,98.0,59.0,2,purple
690,43.8,49.8,61.0,71.6,85.2,58.8,2,purple
691,50.0,84.1,41.6,80.0,38.3,58.8,0,light pink
693,48.0,63.9,45.9,82.9,28.4,58.6,0,light pink
694,46.4,49.1,56.7,71.3,95.9,58.4,2,purple
695,51.8,36.8,56.8,73.8,32.6,58.3,3,black
696,48.3,41.6,39.6,93.5,29.8,58.3,3,black
697,44.0,35.2,47.2,90.3,42.1,58.2,3,black
698,44.9,40.4,51.4,83.9,32.1,57.9,3,black
699,47.0,31.3,53.7,76.9,83.9,57.7,2,purple
701,47.8,66.4,60.6,60.9,70.0,57.5,2,purple
702,50.9,27.9,61.3,69.5,35.8,57.5,3,black
703,46.0,45.9,37.8,92.3,39.6,57.2,3,black
704,41.9,71.9,43.9,83.4,38.4,57.1,0,light pink
706,51.2,61.5,42.4,76.5,49.7,56.8,0,light pink
707,48.6,56.3,63.9,58.2,44.1,56.6,3,black
708,51.5,27.5,40.9,85.0,53.0,56.6,3,black
709,43.2,86.3,43.8,76.6,38.9,56.5,0,light pink
710,42.8,48.3,53.0,77.7,31.1,56.4,3,black
711,41.9,84.5,33.5,88.1,32.8,56.2,0,light pink
712,49.5,68.1,46.2,71.0,41.5,56.2,0,light pink
713,34.9,76.7,39.5,91.1,32.1,56.2,0,light pink
714,34.7,75.1,45.5,79.7,87.3,55.8,2,purple
715,44.1,69.8,51.8,63.8,100.0,55.6,2,purple
716,39.7,85.2,53.2,62.5,99.1,55.5,2,purple
717,35.7,66.4,54.6,71.6,69.7,55.3,2,purple
718,31.3,52.2,43.8,93.0,32.0,55.2,3,black
719,55.9,27.9,43.0,73.5,48.6,55.0,3,black
720,30.5,92.5,27.7,99.0,31.9,54.9,0,light pink
721,48.1,70.1,50.8,62.8,38.3,54.8,0,light pink
722,50.9,67.6,53.9,56.6,50.6,54.7,0,light pink
725,53.7,62.6,63.1,45.1,44.5,54.4,0,light pink
726,47.5,31.5,35.9,87.0,38.6,54.4,3,black
727,48.9,80.9,50.5,58.8,35.3,54.4,0,light pink
728,35.7,53.4,54.3,73.3,41.7,54.0,3,black
729,53.1,60.9,56.5,51.5,32.8,53.7,0,light pink
730,58.0,29.6,56.1,52.0,65.3,53.7,2,purple
731,42.2,73.5,40.4,74.3,39.7,53.6,0,light pink
732,33.0,82.7,44.8,76.2,45.8,53.6,0,light pink
733,37.9,77.4,38.9,79.2,41.8,53.6,0,light pink
734,36.2,95.3,42.5,73.1,32.4,53.5,0,light pink
736,56.4,24.6,65.7,45.5,44.0,53.2,3,black
737,43.3,25.2,41.3,81.0,63.3,53.2,3,black
738,48.8,50.3,55.8,57.0,33.6,53.1,3,black
739,57.7,32.0,55.6,48.9,80.7,53.1,2,purple
740,37.3,69.7,40.2,78.1,44.1,53.0,0,light pink
741,47.5,86.1,49.7,49.1,100.0,52.9,2,purple
742,40.5,47.1,45.1,74.2,58.5,52.9,3,black
743,37.1,89.8,23.2,87.8,64.2,52.8,0,light pink
744,41.5,66.6,48.6,65.8,41.3,52.8,0,light pink
745,48.3,54.9,33.0,72.4,81.1,52.3,2,purple
746,37.7,76.2,40.9,73.2,31.8,52.1,0,light pink
747,33.1,87.0,30.0,85.4,42.7,52.1,0,light pink
748,59.5,23.6,55.7,46.4,69.6,52.0,2,purple
749,38.4,27.4,45.2,79.9,31.8,51.9,3,black
750,37.9,77.0,30.0,76.9,98.7,51.7,2,purple
752,46.3,64.5,38.9,63.4,82.9,51.5,2,purple
753,43.0,77.3,36.0,69.7,42.0,51.5,0,light pink
